Feature,Importance
MAR00164F,0.08269746503939401
MAR07725,0.039202572439963564
MAR00060F,0.03825602061885155
MAR00219F,0.03480150383999673
MAR04345B,0.03265964869152963
MAR11124F,0.02636102759485758
MAR04971B,0.02536068201950152
MAR05502F,0.021937620241760408
MAR09889F,0.017031014709867127
MAR04422,0.016634167492819006
MAR01386F,0.01562511445956894
MAR11288B,0.015167600219647128
MAR04983,0.014348819784415622
MAR11062F,0.012480182050656314
MAR05892,0.012275133711055401
MAR04042,0.010948827190909397
MAR11144F,0.01046439271648905
MAR08796,0.009388398657137172
MAR06070B,0.008993366249923971
MAR01910,0.008877129916542404
MAR03048B,0.008561370607891979
MAR06475F,0.008310175674775737
MAR05446,0.008051306542807094
MAR01859F,0.007753766865241315
MAR11291B,0.007658789901107819
MAR04645F,0.007155560952619265
MAR05554B,0.0068642990884685735
MAR09526F,0.006430648789444253
MAR08995,0.006365816508303417
MAR03777,0.006194448116258923
MAR05506B,0.006051505351454679
MAR08491B,0.006026914811815809
MAR05080F,0.0058158878553485
MAR06017F,0.00573756980188175
MAR04582B,0.005451531693517496
MAR09896B,0.005155307946117309
MAR06787,0.004986097770398502
MAR03848F,0.00490775552500251
MAR05943,0.004810689465168965
MAR08868F,0.004802653279281561
MAR06069B,0.004589292641398982
MAR05681,0.004584652508307399
MAR04864B,0.0040292070667249085
MAR05484F,0.0037307851660297953
MAR08748,0.0037193065617791214
MAR04951B,0.003430109325709659
MAR05033F,0.0033581144270540173
MAR11780F,0.0033228080730139716
MAR10361F,0.003273618469458379
MAR11073F,0.003250536102368417
MAR02023,0.0032008511915726724
MAR05855,0.0031543455045866787
MAR05631,0.0030882798170303004
MAR05581F,0.003065843412312518
MAR05466F,0.00297875509601014
MAR11090F,0.0028997573892605016
MAR02335,0.0028955713403638135
MAR04249F,0.0028410408735790194
MAR01920,0.0027749379539478017
MAR04467,0.002742632104822605
MAR11039B,0.0027425484993423223
MAR11058F,0.002740878068555693
MAR09979F,0.0025504319814170172
MAR04647F,0.0024801649045135404
MAR08088B,0.0024348980955588616
MAR00123F,0.002339208961120362
MAR11173F,0.002282163405416252
MAR08890F,0.0021109315126050412
MAR04218,0.002027300001213248
MAR00318,0.001968627463803466
MAR11061B,0.0019078286729199338
MAR00021,0.0018202569728609128
MAR11777,0.0017851465439537458
MAR01887B,0.0017207301695982035
MAR05046F,0.0016854952075443846
MAR11201B,0.001651043598466494
MAR11445,0.0016235762224994378
MAR11133B,0.0016233416239737487
MAR06360,0.0016233310643360946
MAR06020B,0.0015043888882233483
MAR11433F,0.0015020839029347814
MAR08115,0.0014999779238548834
MAR08860,0.0014631795432417762
MAR09822B,0.0014598243788914909
MAR09947,0.0014574703835762278
MAR04583F,0.0014357298161200875
MAR07302,0.0014255599364665485
MAR10355F,0.001384615384615384
MAR11141F,0.0013788968811782442
MAR09872,0.001363749559179046
MAR08107,0.0013571152243948943
MAR02629F,0.0013428897325274526
MAR03733,0.001314406508101318
MAR11138F,0.0013136401379676146
MAR11845F,0.0012986763156773795
MAR05503B,0.0012808860054338226
MAR11360B,0.0012740850913070193
MAR04652F,0.0012662772213702029
MAR00679,0.0012590273186692514
MAR12050,0.0012559924108299114
MAR09613,0.0012518657614714235
MAR09789,0.0012432963558269554
MAR06892,0.0012273317055808003
MAR11101B,0.001226002854997154
MAR00031,0.0012163742690058472
MAR04882F,0.001180921197649212
MAR03802B,0.001176019445991796
MAR08607,0.0011690767940462895
MAR13084F,0.0011660005764481077
MAR09839B,0.0011632274313994073
MAR06023B,0.0011625281344919765
MAR08684F,0.001162190082644628
MAR05891,0.0011478380693079465
MAR05864,0.001145379039340309
MAR05632,0.001138849952013042
MAR06215B,0.0011290279015746965
MAR05027F,0.0011065088757396446
MAR05860,0.0010907494145199058
