Timestamp				All	All	All	Per	Per	Per	Per	Per	Per
Sample				DBS+Serum	DBS	Serum	DBS+Serum	DBS+Serum	DBS	DBS	Serum	Serum
Grouping				Sample	Cohort	Cohort	Sample	Sample_Cohort	Cohort	ID	Cohort	ID
Hparam	Feature	Model	Reaction-Set									
common	input-reaction	rnn	1	0.5234289951121786	0.17195430043168738	0.26878976427221646	0.48725469198542154	0.1964838776864682	0.20091401925166436	0.4056887228232299	0.24823090513598728	0.46222308096653847
common	input-reaction	rnn	2	1.1052564899571833	0.3899703457825123	0.34088407254060527	0.9584345486902378	0.4972313523404692	0.46391312900543197	1.4001966646150499	0.40464317583575216	1.1609797900343486
common	input-reaction	rnn	3	0.6252459106942044	0.16335211325353105	0.20065925920695785	0.5550742694292061	0.20459315301128356	0.2009213592554182	1.0859568340903132	0.25887705953422296	1.1467724051559454
common	input-reaction	rnn	4	0.2907857169123501	0.1084411399415915	0.14559215192151329	0.2674059869104336	0.10749244460660971	0.12297837391237512	0.631606960062692	0.16540722207822792	0.8962942315048984
common	input-reaction	rnn	5	0.4748036117601751	0.18484099050325656	0.15734339383177484	0.4599391119665756	0.20595567798162168	0.22857255088472056	0.9551429064205044	0.20689398127837758	1.247612651405202
common	input-reaction	rnn	6	0.44694033411391415	0.1603208335009296	0.14903506697391253	0.43386442053047514	0.186645793504085	0.18507831588585483	2.116678510532896	0.19134891659540573	1.4321841525667436
common	input-reaction	rnn	7	0.21898031438141002	0.0944777219817628	0.09605449781111175	0.20328313919774363	0.08146510945591978	0.08305154906465533	1.3955017487415156	0.10818379356547278	1.1077257263858826
common	input-reaction	rnn	8	0.28657052934836974	0.08573553453966223	0.1388285980114427	0.28483206817006007	0.11402064533231346	0.11322589801444069	1.8750019756499232	0.18346756844856899	1.989730658746625
common	input-reaction	rnn	9	0.3624907318424092	0.14926288082782885	0.17920867953938963	0.3482342230766137	0.13929869716026747	0.15194505014039725	1.5109518120342726	0.22152906396467123	1.927315572935353
common	input-reaction	rnn_delta	1	0.8557139113423233	0.28231456730777105	0.3555722962993496	0.74309242852435	0.31358295974414724	0.31358835052169776	1.2400147090280609	0.4848091101408008	1.3304540837562548
common	input-reaction	rnn_delta	2	1.2665840819143719	0.4300452423125421	0.324748536877231	1.2004848428509631	0.6031769869662725	0.5624182880274566	1.0762486349351137	0.4017248824418372	1.1552362865565553
common	input-reaction	rnn_delta	3	1.2961117122620078	0.38334775915019054	0.38506807425131767	1.2757107904990792	0.5901763881439221	0.4659317194948395	1.2078197533641597	0.4552800017728902	1.4248126617750454
common	input-reaction	rnn_delta	4	0.774454398521531	0.27814538260972127	0.21828746140179314	0.6455531310961911	0.2763818659838826	0.26088157193022776	0.6633911415423783	0.2491718831612722	0.46271686431515274
common	input-reaction	rnn_delta	5	1.0873729152604288	0.33179117315980494	0.3366890396940349	1.0412057758277107	0.4128239216309067	0.4056719927223977	1.1023801648151943	0.4312380130902696	1.4565184947435075
common	input-reaction	rnn_delta	6	0.5122716983544087	0.2569569187669321	0.16727882433594535	0.5001950396620387	0.18971989300581116	0.27507040175854325	1.3108764982032963	0.20447366153605867	0.9619663050920775
common	input-reaction	rnn_delta	7	1.010116624841135	0.276121603350722	0.36676137350592775	0.8832622563234783	0.3403863964817918	0.2824800403164988	0.4133401978170913	0.3880286080151781	0.5366940940216378
common	input-reaction	rnn_delta	8	1.152072726620184	0.3458596072994346	0.3374673174586913	1.0089279204129251	0.4021920865438734	0.37427007947917335	0.6174757488533015	0.4113002102402682	1.1113209190887097
common	input-reaction	rnn_delta	9	0.9661899773739248	0.28464951255642146	0.3586394575060727	0.8107971543909395	0.32126091226033293	0.3249122961399998	1.170096514715338	0.43343586212800667	1.376467840054901
common	input-reaction-subsystem	rnn	1	0.491773874249889	0.15691819346775931	0.25719472938379184	0.4532827315022287	0.1847200167414729	0.18951147785182257	0.3772229824400569	0.23815039973637608	0.4367822810969598
common	input-reaction-subsystem	rnn	2	1.0961511492005758	0.389887995961558	0.3410915190871301	0.95130013909715	0.4928447615310786	0.46146219369267216	1.380423895819467	0.4030434701524719	1.1562253225917618
common	input-reaction-subsystem	rnn	3	0.6111392711411139	0.15972725537643023	0.19664458267734128	0.5426502683385601	0.1999560934460455	0.19652731084786515	1.0622908815976588	0.2536736462401521	1.1390666293575116
common	input-reaction-subsystem	rnn	4	0.2744755863238612	0.10237734313505495	0.1400730507218609	0.25216030816410157	0.10143333935329796	0.11609825686505652	0.599980585350617	0.15732777626085506	0.8625258787746508
common	input-reaction-subsystem	rnn	5	0.4710872332089744	0.18467382797550044	0.15553176643201383	0.45627520080921835	0.20466443598355277	0.22788866028372	0.9450249906374526	0.2060647491254127	1.2327584225299926
common	input-reaction-subsystem	rnn	6	0.440976319167861	0.15828415025950648	0.14686531344883072	0.42784130941762016	0.1840335865384498	0.18259651569699786	2.113565006956388	0.18847555808387909	1.4244914144403449
common	input-reaction-subsystem	rnn	7	0.20946348039247767	0.0921684361770132	0.09205756600476155	0.19398597285775607	0.07775628138396999	0.07926379300556735	1.3594654956992713	0.10369680793157644	1.1120572242505895
common	input-reaction-subsystem	rnn	8	0.28638809257665	0.08439609625272686	0.13815828746146322	0.2847612615260943	0.11394016405391705	0.11350831022682173	1.8849790372065136	0.1825781720441116	1.9919611029046174
common	input-reaction-subsystem	rnn	9	0.3590189184947917	0.14832090699954686	0.17974317987381816	0.3450006322833154	0.13795089397982083	0.15054232619448374	1.4993370675810893	0.2216412060428156	1.9313106633121626
