Clustering				DBS vs Serum	Case vs Control	Case vs Control
Sample					DBS	Serum
Hparam	Feature	Model	Reaction-Set			
different	input-reaction-subsystem	rnn	5	1.0	-0.013333333333333334	-0.05321507760532151
different	input-reaction-subsystem	rnn	6	1.0	0.02145922746781116	0.11529933481152993
different	input-reaction-subsystem	rnn	7	-0.023890784982935155	0.03997779011660189	-0.013333333333333334
different	input-reaction-subsystem	rnn	8	0.805	-0.013333333333333334	-0.030684931506849315
different	input-reaction-subsystem	rnn	9	1.0	-0.004405286343612335	-0.004405286343612335
different	input-reaction-subsystem	rnn_delta	1	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction-subsystem	rnn_delta	2	1.0	0.04422332780541736	0.13071895424836602
different	input-reaction-subsystem	rnn_delta	3	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction-subsystem	rnn_delta	4	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction-subsystem	rnn_delta	5	1.0	-0.05321507760532151	0.06489994591671173
different	input-reaction-subsystem	rnn_delta	6	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction-subsystem	rnn_delta	7	1.0	0.03997779011660189	0.13071895424836602
different	input-reaction-subsystem	rnn_delta	8	1.0	-0.013333333333333334	-0.05321507760532151
different	input-reaction-subsystem	rnn_delta	9	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn	1	1.0	-0.013333333333333334	0.3244444444444444
different	input-subsystem	rnn	2	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn	3	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn	4	1.0	-0.013333333333333334	0.2191780821917808
different	input-subsystem	rnn	5	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn	6	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn	7	1.0	0.2087729039422543	0.13071895424836602
different	input-subsystem	rnn	8	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn	9	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	1	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	2	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	3	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	4	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	5	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	6	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	7	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	8	1.0	-0.013333333333333334	0.13071895424836602
different	input-subsystem	rnn_delta	9	1.0	-0.013333333333333334	0.13071895424836602
