Hparam	Feature	Model	Reaction-Set	Accuracy	AUROC	AUPRC	Precision	Recall	F1-Score
common	input-subsystem	rnn	Reaction-Set-1	0.005319148936170248	0.009999999999999898	0.010000000000000009	0.009181713780332279	0.005319148936170248	0.008079557146720928
common	input-reaction	rnn	Reaction-Set-1	0.005319148936170248	0.0	0.010000000000000009	0.0063430320745847535	0.005319148936170248	0.00397539576508088
different	input-subsystem	rnn	Reaction-Set-1	0.0	-0.010000000000000009	-0.010000000000000009	-0.006797939813773524	0.0	-0.00934056554566609
different	input-reaction	rnn	Reaction-Set-1	0.0	-0.06000000000000005	-0.08000000000000002	-0.006797939813773524	0.0	-0.00934056554566609
common	input-subsystem	rnn	Reaction-Set-2	0.010638297872340496	0.0	0.010000000000000009	0.015462642256308778	0.010638297872340496	0.012151876837917408
common	input-reaction	rnn	Reaction-Set-2	0.010638297872340496	0.009999999999999898	0.010000000000000009	0.015462642256308778	0.010638297872340496	0.012151876837917408
different	input-subsystem	rnn	Reaction-Set-2	0.0	0.0	-0.010000000000000009	0.0	0.0	0.0
different	input-reaction	rnn	Reaction-Set-2	0.0	-0.010000000000000009	-0.03999999999999998	0.0	0.0	0.0
common	input-subsystem	rnn	Reaction-Set-3	-0.07978723404255317	-0.07000000000000006	-0.15999999999999998	-0.07272898370787706	-0.07978723404255317	-0.0681779010778415
common	input-reaction	rnn	Reaction-Set-3	-0.07446808510638292	-0.030000000000000027	-0.13	-0.07047243777732193	-0.07446808510638292	-0.06466951466627124
different	input-subsystem	rnn	Reaction-Set-3	0.005319148936170248	0.0	0.0	0.009181713780332279	0.005319148936170248	0.008079557146720928
different	input-reaction	rnn	Reaction-Set-3	0.005319148936170248	-0.010000000000000009	0.0	0.009181713780332279	0.005319148936170248	0.008079557146720928
common	input-subsystem	rnn	Reaction-Set-4	0.005319148936170248	0.009999999999999898	0.0	0.009181713780332279	0.005319148936170248	0.008079557146720928
common	input-reaction	rnn	Reaction-Set-4	-0.015957446808510634	0.0	-0.02999999999999997	-0.03187998542773396	-0.015957446808510634	-0.025699529991378922
different	input-subsystem	rnn	Reaction-Set-4	0.005319148936170248	0.0	-0.020000000000000018	0.009181713780332279	0.005319148936170248	0.008079557146720928
different	input-reaction	rnn	Reaction-Set-4	0.005319148936170248	-0.010000000000000009	-0.02999999999999997	0.009181713780332279	0.005319148936170248	0.008079557146720928
common	input-subsystem	rnn	Reaction-Set-5	0.005319148936170248	0.009999999999999898	0.010000000000000009	0.0037898766251065474	0.005319148936170248	-0.000541866060172369
common	input-reaction	rnn	Reaction-Set-5	0.005319148936170248	-0.030000000000000027	-0.020000000000000018	0.0037898766251065474	0.005319148936170248	-0.000541866060172369
different	input-subsystem	rnn	Reaction-Set-5	0.015957446808510634	0.009999999999999898	0.010000000000000009	0.022487007805327197	0.015957446808510634	0.016262791483893646
different	input-reaction	rnn	Reaction-Set-5	0.010638297872340496	0.0	0.0	0.013488908334409855	0.010638297872340496	0.007986500687477638
common	input-subsystem	rnn	Reaction-Set-6	0.0	0.0	-0.010000000000000009	0.0	0.0	0.0
common	input-reaction	rnn	Reaction-Set-6	-0.015957446808510634	-0.030000000000000027	-0.07	-0.03869234364290519	-0.015957446808510634	-0.03133011965876631
different	input-subsystem	rnn	Reaction-Set-6	0.0	-0.010000000000000009	-0.02999999999999997	0.0	0.0	0.0
different	input-reaction	rnn	Reaction-Set-6	-0.021276595744680882	-0.040000000000000036	-0.04999999999999999	-0.030925284512617557	-0.021276595744680882	-0.024303753675834594
common	input-subsystem	rnn	Reaction-Set-7	0.010638297872340496	0.019999999999999907	0.020000000000000018	0.0178562997027939	0.010638297872340496	0.015941581423385087
common	input-reaction	rnn	Reaction-Set-7	0.005319148936170248	0.029999999999999916	0.020000000000000018	0.012243908595376052	0.005319148936170248	0.011818431576055555
different	input-subsystem	rnn	Reaction-Set-7	0.005319148936170248	0.0	0.010000000000000009	0.009181713780332279	0.005319148936170248	0.008079557146720928
different	input-reaction	rnn	Reaction-Set-7	0.005319148936170248	-0.020000000000000018	0.030000000000000027	0.009181713780332279	0.005319148936170248	0.008079557146720928
common	input-subsystem	rnn	Reaction-Set-8	0.010638297872340496	0.009999999999999898	0.010000000000000009	0.015462642256308778	0.010638297872340496	0.012151876837917408
common	input-reaction	rnn	Reaction-Set-8	0.005319148936170248	0.009999999999999898	0.010000000000000009	0.009181713780332279	0.005319148936170248	0.008079557146720928
different	input-subsystem	rnn	Reaction-Set-8	0.0	-0.010000000000000009	-0.020000000000000018	0.0	0.0	0.0
different	input-reaction	rnn	Reaction-Set-8	-0.021276595744680882	-0.040000000000000036	-0.06	-0.025155798753609848	-0.021276595744680882	-0.019756108173273335
common	input-subsystem	rnn	Reaction-Set-9	0.015957446808510634	0.009999999999999898	0.020000000000000018	0.0216248076515273	0.015957446808510634	0.012036965905430574
common	input-reaction	rnn	Reaction-Set-9	0.0	0.029999999999999916	0.0	-0.0034380385265061486	0.0	-0.004443067893802222
different	input-subsystem	rnn	Reaction-Set-9	0.015957446808510634	0.019999999999999907	0.030000000000000027	0.026112458858103205	0.015957446808510634	0.023599824984482765
different	input-reaction	rnn	Reaction-Set-9	0.042553191489361764	0.05999999999999994	0.11000000000000004	0.060868398159197756	0.042553191489361764	0.0516392710200434
common	input-subsystem	rnn_delta	Reaction-Set-1	0.005319148936170248	0.009999999999999898	0.010000000000000009	0.009181713780332279	0.005319148936170248	0.008079557146720928
