Hparam	Feature	Model	Reaction-Set	Silhouette	Calinski	Dunn
common_best_hparam	input-reaction	rnn	Reaction-Set-1	-0.0831205097011643	-4.472638929718542	-0.1258934285050842
common_best_hparam	input-reaction	rnn	Reaction-Set-2	-0.09724582977501553	-2.2871381241743367	-0.08569181687250749
common_best_hparam	input-reaction	rnn	Reaction-Set-3	0.11283178539828113	10.697303752797804	-0.1692088714435479
common_best_hparam	input-reaction	rnn	Reaction-Set-4	-0.062170436331171974	-3.999040611213497	-0.13563239057973414
common_best_hparam	input-reaction	rnn	Reaction-Set-5	0.11231365985844123	-0.44649487490460427	-0.17192116004859634
common_best_hparam	input-reaction	rnn	Reaction-Set-6	-0.01616725038632319	-4.0952230409251404	-0.11362770745581739
common_best_hparam	input-reaction	rnn	Reaction-Set-7	-0.13103533522413982	5.162699215128364	-0.1950017107857114
common_best_hparam	input-reaction	rnn	Reaction-Set-8	-0.11555694760796206	-4.491068253990042	-0.13045956951940668
common_best_hparam	input-reaction	rnn	Reaction-Set-9	-0.026159198636570728	15.393164658354202	-0.1852071130652243
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-1	-0.07544332865301233	-4.772601006237463	-0.14130450853407295
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-2	-0.07510385999114715	-3.7852796931471966	-0.07619612267366935
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-3	-0.031220220238656143	-3.8683636757172812	-0.06743848981591391
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-4	0.06438177808207708	-3.7076468140059164	-0.18916595070303732
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-5	-0.10735256012549092	-3.7989244520522645	-0.13171805926239744
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-6	-0.09218751155309998	-3.7874165178109793	-0.11840246336074361
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-7	-0.10675363309687867	-5.29095808459896	-0.1936711610244678
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-8	-0.1423312163477778	-5.2839874453448274	-0.18309343304710757
common_best_hparam	input-reaction	rnn_delta	Reaction-Set-9	0.07139730693693529	-2.2461051713168834	-0.1786719789459794
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-1	-0.08352406077037544	-4.489977485598264	-0.1271707043145107
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-2	-0.0977561909292311	-2.2874532820804734	-0.08799572846006345
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-3	0.1131570902235174	10.699720476567059	-0.17016559519021293
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-4	-0.06233696566782673	-4.0086045336311855	-0.13658182208145764
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-5	0.1124470830898086	-0.44498272559666585	-0.17248308372196455
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-6	-0.01623920847656149	-4.103224359263612	-0.11504921405865204
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-7	-0.13103955423134112	5.163945772872659	-0.19518291151145556
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-8	-0.11566606541446443	-4.497207988162085	-0.13117187112611606
common_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-9	-0.026129157330351857	15.393508393119404	-0.185476781272155
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-1	-0.07651672053596086	-4.788417412253483	-0.14253515608749912
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-2	-0.07567994213065818	-3.8113684249199116	-0.0783354894371302
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-3	-0.03130961699861335	-3.878532050720672	-0.07049312873272573
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-4	0.06453710893508156	-3.7098675258381566	-0.18943457693725724
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-5	-0.10790704313041397	-3.804746767091802	-0.13266237388175872
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-6	-0.09240801209147881	-3.797119680326408	-0.11969011798521194
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-7	-0.10672819755079632	-5.290822738006205	-0.19386493611029085
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-8	-0.14237357166129344	-5.284399619064306	-0.18339137704457764
common_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-9	0.071477795893528	-2.244922027062947	-0.17904153870921977
common_best_hparam	input-subsystem	rnn	Reaction-Set-1	-0.005539032526478221	-3.690900743377155	0.04368901556930957
common_best_hparam	input-subsystem	rnn	Reaction-Set-2	-0.008110430688961952	-3.5507388711362404	0.037801981267322565
common_best_hparam	input-subsystem	rnn	Reaction-Set-3	0.06294401469064949	6.390951357550825	-0.016394842771002283
common_best_hparam	input-subsystem	rnn	Reaction-Set-4	-0.0053379623928957315	-3.4072192827781347	0.03642954560163711
common_best_hparam	input-subsystem	rnn	Reaction-Set-5	0.05438865255813753	-1.9381692236554242	0.022946153938696395
common_best_hparam	input-subsystem	rnn	Reaction-Set-6	-0.009109263606456412	-3.3933364760319495	0.035719649774844514
common_best_hparam	input-subsystem	rnn	Reaction-Set-7	-0.10756139113190905	4.463315153093961	-0.0744497035482688
common_best_hparam	input-subsystem	rnn	Reaction-Set-8	-0.0079120813129223	-3.403692338109585	0.037310016136487184
common_best_hparam	input-subsystem	rnn	Reaction-Set-9	-0.032321074990283784	11.616043497773074	-0.02275194275209258
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-1	-0.004733703679087847	-3.41801792542371	0.036073172558906824
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-2	-0.004133741911331243	-3.388819825357081	0.03508410074529256
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-3	-0.004151637370966001	-3.4283978920504086	0.03609939861018327
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-4	0.04282179713427331	-3.3463602048577985	-0.06350148005884931
